customer_id,name,nationality,occupation,risk_score
CUST_0001,Kimberly Wright,Madagascar,student,96.96
CUST_0002,Deanna Lynch,Lesotho,unemployed,77.51
CUST_0003,Katelyn West,Isle of Man,salaried,93.95
CUST_0004,Robert Henderson,Tuvalu,student,89.48
CUST_0005,April Jenkins,Niue,student,59.79
CUST_0006,John Franklin,Uzbekistan,unemployed,92.19
CUST_0007,Ian Campbell,Kiribati,salaried,8.85
CUST_0008,Lori Stein,Germany,salaried,19.6
CUST_0009,Eric Chen,Mayotte,student,4.52
CUST_0010,Robert Walsh,Bhutan,business,32.53
CUST_0011,Tommy Ewing,Venezuela,student,38.87
CUST_0012,Adrienne Ellis,Algeria,student,27.13
CUST_0013,Teresa Curry,Netherlands,student,82.87
CUST_0014,Mr. Ryan Hanson,Guatemala,student,35.68
CUST_0015,Matthew Mason,Marshall Islands,unemployed,28.09
CUST_0016,Scott Smith,Bulgaria,salaried,54.27
CUST_0017,Ray Fox,Uruguay,unemployed,14.09
CUST_0018,Isaiah Williams,Comoros,unemployed,80.22
CUST_0019,Makayla Hull,Kazakhstan,unemployed,7.46
CUST_0020,Charles Lane,Zambia,student,98.69
CUST_0021,Pamela Miller,Somalia,business,77.22
CUST_0022,Heather Powers,Marshall Islands,salaried,19.87
CUST_0023,Michelle Davis,Suriname,business,0.55
CUST_0024,Angelica Marsh,Saint Barthelemy,unemployed,81.55
CUST_0025,Andrew King,Kiribati,unemployed,70.69
CUST_0026,Richard Morris PhD,Montenegro,business,72.9
CUST_0027,Michael Lee,Liechtenstein,business,77.13
CUST_0028,Kenneth Hansen,Jersey,business,7.4
CUST_0029,John Martinez,Kenya,unemployed,35.85
CUST_0030,Gerald Williamson MD,China,unemployed,11.59
CUST_0031,Wyatt Oneal,Qatar,salaried,86.31
CUST_0032,Kevin Miller,Bangladesh,salaried,62.33
CUST_0033,Tony Ibarra,Samoa,unemployed,33.09
CUST_0034,Melvin Tapia,Bahamas,business,6.36
CUST_0035,Debra Miller,Tonga,business,31.1
CUST_0036,Julian King,Bahrain,salaried,32.52
CUST_0037,Jason Schultz,Belize,unemployed,72.96
CUST_0038,Lisa Turner,China,salaried,63.76
CUST_0039,Melinda Smith,Tunisia,salaried,88.72
CUST_0040,Ann Alvarez MD,Bouvet Island (Bouvetoya),student,47.22
CUST_0041,Kimberly Wolfe,Iceland,student,11.96
CUST_0042,Cynthia Wilson,Wallis and Futuna,student,71.32
CUST_0043,Gregory White,Faroe Islands,business,76.08
CUST_0044,Wendy Robertson,Mozambique,unemployed,56.13
CUST_0045,Richard Rangel,Finland,unemployed,77.1
CUST_0046,Ashley Maxwell,Tokelau,unemployed,49.38
CUST_0047,Terry Shields,Slovakia (Slovak Republic),unemployed,52.27
CUST_0048,Kevin Martinez,Argentina,student,42.75
CUST_0049,Casey Walker,India,business,2.54
CUST_0050,Xavier Gray PhD,Tuvalu,business,10.79
CUST_0051,Judy Green,Ireland,student,3.14
CUST_0052,Brittany Hubbard,Brazil,business,63.64
CUST_0053,Robert Ramirez,American Samoa,student,31.44
CUST_0054,Ashley Cooper,Marshall Islands,unemployed,50.86
CUST_0055,Miss Joyce Barrett DVM,Bosnia and Herzegovina,student,90.76
CUST_0056,Mr. Richard Williams DDS,Thailand,unemployed,24.93
CUST_0057,Timothy Hughes,Dominica,unemployed,41.04
CUST_0058,Nicole Montoya,Belize,salaried,75.56
CUST_0059,Alexandria Payne,Philippines,student,22.88
CUST_0060,George Gutierrez,Guam,salaried,7.7
CUST_0061,Jacqueline Jefferson,Burkina Faso,student,28.98
CUST_0062,Kristin Johnson,Monaco,student,16.12
CUST_0063,David Beard,Pitcairn Islands,salaried,92.97
CUST_0064,George Brady,Malawi,salaried,80.81
CUST_0065,Darryl Ross,Germany,student,63.34
CUST_0066,Andrew Hill,British Virgin Islands,business,87.15
CUST_0067,Brianna Mosley,Hungary,unemployed,80.37
CUST_0068,David Jackson,Estonia,salaried,18.66
CUST_0069,Robert Gomez,Greenland,unemployed,89.26
CUST_0070,Mary Conway,Saint Pierre and Miquelon,business,53.93
CUST_0071,Amy Bryant,Peru,business,80.74
CUST_0072,Tony Francis,Slovenia,business,89.61
CUST_0073,Shelly Vega,Ireland,salaried,31.8
CUST_0074,Erika Daniel,Israel,business,11.01
CUST_0075,Dr. Kathryn Morales MD,Lesotho,salaried,22.79
CUST_0076,Jessica Holt,Papua New Guinea,business,42.71
CUST_0077,Jasmine Lee,Slovenia,unemployed,81.8
CUST_0078,Amanda Rivera,Saint Vincent and the Grenadines,unemployed,86.07
CUST_0079,Bobby Chandler,Dominica,student,0.7
CUST_0080,James Marshall,Cyprus,unemployed,51.07
CUST_0081,Katherine Bradley,Belgium,student,41.74
CUST_0082,Joanna Spencer,Belgium,unemployed,22.21
CUST_0083,Thomas Ruiz,Saint Lucia,salaried,11.99
CUST_0084,Todd Duncan,Israel,unemployed,33.76
CUST_0085,Joseph Martin,Kazakhstan,student,94.29
CUST_0086,James Fisher,China,student,32.32
CUST_0087,Andrea Watkins,Slovenia,business,51.88
CUST_0088,Kelly Raymond,British Indian Ocean Territory (Chagos Archipelago),salaried,70.3
CUST_0089,Christopher Macdonald,Iran,unemployed,36.36
CUST_0090,John Barajas,Sao Tome and Principe,business,97.18
CUST_0091,Bradley Black,Guinea,unemployed,96.24
CUST_0092,Kaitlyn Williams,Peru,unemployed,25.18
CUST_0093,Douglas Wiggins,Hong Kong,business,49.72
CUST_0094,Sarah Stephenson,Isle of Man,business,30.09
CUST_0095,Melinda Oliver,Vietnam,business,28.48
CUST_0096,Brent Vaughn,Kiribati,business,3.69
CUST_0097,Frank Lane,Nigeria,business,60.96
CUST_0098,Jennifer Gutierrez,Venezuela,unemployed,50.27
CUST_0099,Nicholas Mueller,Saint Helena,business,5.15
CUST_0100,Benjamin Rodriguez MD,New Caledonia,salaried,27.86
