account_id,name,branch_code,account_type,is_smurf_related,role
ACC_00000,Allison Hill,BR-DEL,SAVINGS,False,normal
ACC_00001,Noah Rhodes,BR-BLR,SAVINGS,False,normal
ACC_00002,Angie Henderson,BR-MUM,SAVINGS,False,normal
ACC_00003,Daniel Wagner,BR-DEL,SAVINGS,False,normal
ACC_00004,Cristian Santos,BR-KOL,CURRENT,False,normal
ACC_00005,Connie Lawrence,BR-DEL,SAVINGS,False,normal
ACC_00006,Abigail Shaffer,BR-DEL,SAVINGS,False,normal
ACC_00007,Gina Moore,BR-MUM,SAVINGS,False,normal
ACC_00008,Gabrielle Davis,BR-KOL,SAVINGS,False,normal
ACC_00009,Ryan Munoz,BR-KOL,CURRENT,False,normal
ACC_00010,Monica Herrera,BR-MUM,CURRENT,False,normal
ACC_00011,Jamie Arnold,BR-KOL,CURRENT,False,normal
ACC_00012,Lisa Hensley,BR-DEL,SAVINGS,False,normal
ACC_00013,Michele Williams,BR-LKO,CURRENT,False,normal
ACC_00014,Dylan Miller,BR-BLR,SAVINGS,False,normal
ACC_00015,Brian Ramirez,BR-MUM,CURRENT,False,normal
ACC_00016,Holly Wood,BR-DEL,SAVINGS,False,normal
ACC_00017,Derek Zuniga,BR-LKO,SAVINGS,False,normal
ACC_00018,Lisa Jackson,BR-BLR,CURRENT,False,normal
ACC_00019,Carla Gray,BR-KOL,CURRENT,False,normal
ACC_00020,Margaret Hawkins DDS,BR-DEL,CURRENT,False,normal
ACC_00021,Patty Perez,BR-KOL,SAVINGS,False,normal
ACC_00022,Ethan Adams,BR-LKO,SAVINGS,False,normal
ACC_00023,Tommy Walter,BR-KOL,CURRENT,False,normal
ACC_00024,Matthew Foster,BR-KOL,CURRENT,False,normal
ACC_00025,Judy Baker,BR-KOL,SAVINGS,False,normal
ACC_00026,Justin Baker,BR-DEL,SAVINGS,False,normal
ACC_00027,Stephanie Ross,BR-MUM,CURRENT,False,normal
ACC_00028,Zachary Hicks,BR-DEL,SAVINGS,False,normal
ACC_00029,Anthony Rodriguez,BR-DEL,CURRENT,False,normal
ACC_00030,Rebecca Henderson,BR-BLR,CURRENT,False,normal
ACC_00031,James Ferrell,BR-BLR,SAVINGS,False,normal
ACC_00032,Tricia Valencia,BR-BLR,CURRENT,False,normal
ACC_00033,Nathan Maldonado,BR-MUM,CURRENT,False,normal
ACC_00034,Debra Davidson,BR-DEL,SAVINGS,False,normal
ACC_00035,Jeffrey Chavez,BR-KOL,SAVINGS,False,normal
ACC_00036,Sherri Baker,BR-MUM,CURRENT,False,normal
ACC_00037,Cassandra Gaines,BR-LKO,CURRENT,False,normal
ACC_00038,Elizabeth Fowler,BR-KOL,SAVINGS,False,normal
ACC_00039,Brittany Farmer,BR-BLR,SAVINGS,False,normal
ACC_00040,Paula Moreno,BR-MUM,SAVINGS,False,normal
ACC_00041,Fred Smith,BR-BLR,CURRENT,False,normal
ACC_00042,Sherry Decker,BR-BLR,SAVINGS,False,normal
ACC_00043,Anthony Humphrey,BR-MUM,CURRENT,False,normal
ACC_00044,Angelica Tucker,BR-MUM,CURRENT,False,normal
ACC_00045,Philip Cannon,BR-LKO,CURRENT,False,normal
ACC_00046,John Pierce,BR-MUM,CURRENT,False,normal
ACC_00047,Shane Henderson,BR-MUM,SAVINGS,False,normal
ACC_00048,Joshua Blair,BR-KOL,CURRENT,False,normal
ACC_00049,Eric Carney,BR-KOL,CURRENT,False,normal
ACC_00050,Jessica Holmes,BR-KOL,CURRENT,False,normal
ACC_00051,Danny Morgan,BR-BLR,SAVINGS,False,normal
ACC_00052,Crystal Robinson,BR-MUM,CURRENT,False,normal
ACC_00053,Mark Perez,BR-DEL,SAVINGS,False,normal
ACC_00054,Shannon Jones,BR-DEL,SAVINGS,False,normal
ACC_00055,Michael Lewis,BR-MUM,CURRENT,False,normal
ACC_00056,Timothy Duncan,BR-KOL,SAVINGS,False,normal
ACC_00057,Richard Aguirre,BR-LKO,CURRENT,False,normal
ACC_00058,Brent Jordan,BR-KOL,CURRENT,False,normal
ACC_00059,John Daniel,BR-KOL,CURRENT,False,normal
ACC_00060,Victoria Garcia,BR-KOL,SAVINGS,False,normal
ACC_00061,Gerald Hensley,BR-DEL,CURRENT,False,normal
ACC_00062,Connor West,BR-BLR,SAVINGS,False,normal
ACC_00063,Donald Wright,BR-BLR,CURRENT,False,normal
ACC_00064,Jessica Callahan,BR-MUM,CURRENT,False,normal
ACC_00065,Amber Kidd,BR-DEL,CURRENT,False,normal
